category,tool_name,vendor,use_case_title,use_case_description,target_users,maturity,business_value_score,business_value_rationale,roi_drivers,example_companies,source_url,source_type,collected_at,last_verified,notes,first_available,target_industries,target_departments
Coding/dev agents,Aider,Open Source,Git-native pair programming from the terminal,CLI tool that edits local files and commits changes via git as it pair-programs with the developer.,Individual developers,mainstream,3,"Long-running, well-regarded open-source tool with a large user base; ROI mainly in time saved for solo/small-team devs.",time saved; cost reduction,Not publicly disclosed,https://aider.chat; https://github.com/paul-gauthier/aider,community_report,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-05-01,Software/Technology,R&D/Engineering
Coding/dev agents,Aider,Open Source,Automated changelog and commit message generation,Generates structured commit messages and changelogs from diffs as part of its normal edit loop.,Individual developers,mainstream,2,Small but consistent time saving; low complexity use case.,time saved,Not publicly disclosed,https://aider.chat; https://github.com/paul-gauthier/aider,community_report,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-05-01,Software/Technology,R&D/Engineering; IT
Coding/dev agents,OpenAI Codex CLI,OpenAI,Terminal coding agent for local repos,"Runs in a terminal sandbox, reads/edits local files, and executes commands to complete coding tasks end-to-end.",Software engineering teams,emerging,3,Recently relaunched with strong benchmark performance claims; real-world enterprise ROI data still limited.,time saved,Not publicly disclosed,https://openai.com/codex; https://github.com/openai/codex,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-04-01,Software/Technology,R&D/Engineering; IT
Coding/dev agents,OpenAI Codex CLI,OpenAI,CI-integrated automated test generation,Generates and runs unit tests for existing code to raise coverage as part of a CI pipeline step.,QA/engineering teams,experimental,2,Promising for coverage gaps; quality of generated tests still needs human review.,quality improvement,Not publicly disclosed,https://openai.com/codex; https://github.com/openai/codex,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-04-01,Software/Technology,IT; R&D/Engineering
Coding/dev agents,Devin,Cognition,End-to-end autonomous engineering tasks,"Given a ticket, plans, writes code, tests, and iterates with minimal supervision, reporting back on completion.",Engineering teams evaluating agentic delegation,emerging,3,High-profile launch with strong marketing claims; independent verification of consistent end-to-end success is still mixed.,time saved; cost reduction,Nubank,https://cognition.ai,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-03-01,Software/Technology; Financial Services,R&D/Engineering; IT
Coding/dev agents,Devin,Cognition,Onboarding automation for legacy codebases,Explores and documents unfamiliar or legacy codebases to produce onboarding notes and initial fixes.,Engineering teams with legacy systems,experimental,2,Plausible high-value use case; limited public case studies with hard numbers.,time saved; knowledge capture,Not publicly disclosed,https://cognition.ai,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-03-01,Software/Technology; Financial Services,R&D/Engineering; IT
General-purpose/browser agents,Claude with computer use,Anthropic,Automated desktop UI testing,Operates a virtual desktop (mouse/keyboard/screenshots) to execute and validate multi-step UI test flows without dedicated test scripts.,QA teams,experimental,3,Removes need for brittle UI test scripts; still nascent with reliability caveats for complex UIs.,cost reduction; quality improvement,Not publicly disclosed,https://www.anthropic.com; https://docs.claude.com,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-10-01,Software/Technology,IT; R&D/Engineering
General-purpose/browser agents,Claude with computer use,Anthropic,Legacy application automation without APIs,Automates workflows in desktop apps that expose no API by directly operating the GUI.,Enterprise ops teams,experimental,3,High potential value for legacy system automation; adoption still early given reliability/security concerns.,time saved; cost reduction,Not publicly disclosed,https://www.anthropic.com; https://docs.claude.com,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-10-01,Financial Services; Insurance; Healthcare,IT; Supply Chain/Operations
General-purpose/browser agents,OpenAI Operator/ChatGPT agent mode,OpenAI,"Autonomous web task completion (bookings, forms, research)","Browses the web and completes multi-step tasks like filling forms, comparing options, and completing checkouts on a user's behalf.","Consumers, ops teams",emerging,3,Strong demo-level capability; real-world reliability on arbitrary sites still variable.,time saved,Not publicly disclosed,https://openai.com,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-01-01,Retail/E-commerce; Cross-industry,Sales; Procurement; Cross-functional
General-purpose/browser agents,OpenAI Operator/ChatGPT agent mode,OpenAI,Competitive price and spec monitoring,Periodically browses vendor/competitor sites to collect pricing and spec changes into a structured summary.,Product/ops teams,experimental,2,Useful but overlaps with cheaper scraping solutions; agentic browsing adds robustness to site changes.,time saved,Not publicly disclosed,https://openai.com,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-01-01,Retail/E-commerce,Sales; Marketing
General-purpose/browser agents,Google Project Mariner,Google DeepMind,Multi-tab browser task automation,Operates within Chrome across multiple tabs to complete research and shopping-style tasks.,"Consumers, researchers",experimental,2,Early-stage research preview; limited public deployment/ROI evidence to date.,time saved,Not publicly disclosed,https://deepmind.google,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-12-01,Retail/E-commerce; Cross-industry,Cross-functional; IT
General-purpose/browser agents,Google Project Mariner,Google DeepMind,Web-based research aggregation,Gathers and synthesizes information from multiple browser tabs into a single summary for a research question.,Knowledge workers,experimental,2,Promising but still positioned as a research prototype rather than a production tool.,time saved,Not publicly disclosed,https://deepmind.google,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-12-01,Cross-industry,Marketing; R&D/Engineering
General-purpose/browser agents,Manus,Butterfly Effect,General-purpose autonomous task agent,"Takes a high-level goal and autonomously plans/executes a sequence of web, file, and tool actions to complete it.","Consumers, knowledge workers",emerging,3,Went viral for broad autonomous task completion; independent long-horizon reliability testing still limited.,time saved,Not publicly disclosed,https://manus.im,community_report,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-03-01,Cross-industry,Cross-functional
General-purpose/browser agents,Manus,Butterfly Effect,Automated report and slide generation,"Produces structured reports and slide decks from a research prompt by browsing, synthesizing, and formatting output autonomously.","Consultants, analysts",emerging,3,"Frequently cited for cutting report-drafting time significantly, though output still needs editing.",time saved; quality improvement,Not publicly disclosed,https://manus.im,community_report,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-03-01,Professional Services/Consulting; Financial Services,Marketing; Finance
Research/multi-step task agents,Perplexity,Perplexity AI,"Cited, real-time question answering",Answers questions by searching the live web and returning an answer with inline citations.,"Knowledge workers, consumers",mainstream,4,Large active user base; commonly cited as replacing traditional search-plus-synthesis for research tasks.,time saved; quality improvement,Not publicly disclosed,https://www.perplexity.ai; https://docs.perplexity.ai,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2022-12-01,Cross-industry,Cross-functional
Research/multi-step task agents,Perplexity,Perplexity AI,Automated market and competitive research briefs,"Assembles a sourced research brief on a company, market, or topic from multiple live web sources.","Analysts, sales teams",mainstream,3,"Commonly used for pre-meeting/account research; time savings well reported, business impact harder to quantify.",time saved,Not publicly disclosed,https://www.perplexity.ai; https://docs.perplexity.ai,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2022-12-01,Financial Services; Professional Services/Consulting,Marketing; Sales
Research/multi-step task agents,Perplexity,Perplexity AI,Enterprise internal search assistant,Deploys Perplexity's search-and-cite model over internal enterprise documents and tools in addition to the public web.,Enterprise knowledge workers,emerging,3,Extends the consumer product's proven UX into enterprise search; enterprise-specific ROI data still limited.,time saved,Not publicly disclosed,https://www.perplexity.ai; https://docs.perplexity.ai,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2022-12-01,Cross-industry,IT; Cross-functional
Research/multi-step task agents,ChatGPT Deep Research,OpenAI,Multi-source long-form research reports,"Autonomously runs many searches and reads sources over several minutes to produce a long, cited research report on a topic.","Analysts, researchers",mainstream,4,Widely reported to compress hours of manual research into minutes with credible sourcing.,time saved; quality improvement,Not publicly disclosed,https://openai.com/chatgpt,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-02-01,Professional Services/Consulting; Financial Services,R&D/Engineering; Marketing
Research/multi-step task agents,ChatGPT Deep Research,OpenAI,Due diligence support for investment research,"Used by analysts to pull together background, financial commentary, and risk factors on companies from public sources.",Finance/investment teams,emerging,3,Growing anecdotal adoption in finance; must be cross-checked against primary sources for accuracy.,time saved,Not publicly disclosed,https://openai.com/chatgpt,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-02-01,Financial Services,Finance
Research/multi-step task agents,ChatGPT Deep Research,OpenAI,Academic literature review assistance,Assists researchers in surveying academic literature and summarizing findings across many papers on a topic.,Academic researchers,emerging,3,Reported to meaningfully speed up literature survey work; accuracy on niche academic sources needs verification.,time saved,Not publicly disclosed,https://openai.com/chatgpt,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-02-01,Education/Academia,R&D/Engineering
Research/multi-step task agents,Claude Research mode,Anthropic,Structured multi-step research synthesis,"Plans a research approach, runs parallel searches, and synthesizes a structured, cited answer to complex questions.","Knowledge workers, analysts",mainstream,4,"Comparable adoption pattern to other deep-research tools; particularly noted for structured, well-organized output.",time saved; quality improvement,Not publicly disclosed,https://www.anthropic.com; https://docs.claude.com,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-04-01,Cross-industry,R&D/Engineering
Research/multi-step task agents,Claude Research mode,Anthropic,Literature and background review for technical topics,"Surveys public documentation, papers, and articles to produce a background primer on a technical subject.","Engineers, researchers",emerging,3,Reduces ramp-up time on unfamiliar technical topics; quality depends on availability of public sources.,time saved,Not publicly disclosed,https://www.anthropic.com; https://docs.claude.com,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-04-01,Software/Technology; Education/Academia,R&D/Engineering
Research/multi-step task agents,AutoGPT/BabyAGI (legacy),Open Source,Early autonomous goal-decomposition experiments,"Given a goal, recursively generates and executes its own sub-tasks in a loop with minimal human input.",AI researchers/hobbyists,experimental,1,"Historically important as an early autonomous-agent proof of concept, but widely reported to loop or fail on non-trivial tasks; largely superseded.",none evidenced,Not publicly disclosed,https://github.com/Significant-Gravitas/AutoGPT; https://github.com/yoheinakajima/babyagi,community_report,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-03-01,Cross-industry,R&D/Engineering
Research/multi-step task agents,AutoGPT/BabyAGI (legacy),Open Source,Prototype personal task automation,"Used by hobbyists to prototype simple recurring task automations, such as news summarization loops.",Hobbyists/individuals,experimental,1,Mostly experimental/tinkering use; no strong evidence of durable production use.,none evidenced,Not publicly disclosed,https://github.com/Significant-Gravitas/AutoGPT; https://github.com/yoheinakajima/babyagi,community_report,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-03-01,Cross-industry,Cross-functional
Enterprise/workflow agents,LangChain/LangGraph,LangChain Inc.,Custom RAG pipelines for enterprise knowledge bases,Framework used to build retrieval-augmented generation pipelines connecting LLMs to internal document stores.,Enterprise engineering teams,mainstream,4,De facto standard building block for enterprise LLM apps; large ecosystem and adoption evidence.,time saved; quality improvement,Not publicly disclosed,https://www.langchain.com; https://python.langchain.com/docs,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2022-10-01,Cross-industry,IT; Cross-functional
Enterprise/workflow agents,LangChain/LangGraph,LangChain Inc.,Stateful multi-agent workflow orchestration (LangGraph),LangGraph adds graph-based state management for building reliable multi-step/multi-agent workflows in production.,Platform/AI engineering teams,emerging,3,Increasingly used for production agent orchestration; best practices around reliability are still maturing.,quality improvement; time saved,LinkedIn,https://www.langchain.com; https://langchain-ai.github.io/langgraph/,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-01-01,Software/Technology; Professional Services/Consulting,IT; Supply Chain/Operations
Enterprise/workflow agents,LangChain/LangGraph,LangChain Inc.,Agent evaluation and observability (LangSmith),"Companion tooling for tracing, evaluating, and debugging LangChain/LangGraph agent runs in production.",AI engineering teams,emerging,3,Addresses a well-recognized production pain point (agent observability); growing adoption alongside the core framework.,quality improvement; risk reduction,Not publicly disclosed,https://www.langchain.com; https://smith.langchain.com,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-07-01,Software/Technology,IT; R&D/Engineering
Enterprise/workflow agents,CrewAI,CrewAI Inc.,Multi-agent customer support ticket triage,"A crew of role-based agents classifies, prioritizes, and drafts responses for incoming support tickets.",Customer support operations,emerging,3,Commonly cited example use case with reported efficiency gains in ticket handling time; evidence mostly vendor/case-study level.,time saved; cost reduction,Not publicly disclosed,https://www.crewai.com; https://github.com/crewAIInc/crewAI,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-11-01,Retail/E-commerce; Telecommunications,Customer Support; After-Sales/Service
Enterprise/workflow agents,CrewAI,CrewAI Inc.,Automated content research-and-draft pipeline,Chains a researcher agent and a writer agent to produce first-draft marketing/content pieces.,Marketing/content teams,emerging,2,Popular tutorial/demo use case; production adoption evidence still mostly anecdotal.,time saved,Not publicly disclosed,https://www.crewai.com; https://github.com/crewAIInc/crewAI,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-11-01,Media/Marketing,Marketing
Enterprise/workflow agents,AutoGen,Microsoft,Multi-agent conversation framework for enterprise automation,Framework for orchestrating conversations between multiple specialized agents (and humans) to solve complex tasks.,Enterprise AI engineering teams,emerging,3,Backed by Microsoft Research with growing enterprise pilots; production-scale ROI evidence still emerging.,quality improvement; time saved,Not publicly disclosed,https://microsoft.github.io/autogen/; https://github.com/microsoft/autogen,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-09-01,Software/Technology,IT; Cross-functional
Enterprise/workflow agents,AutoGen,Microsoft,"Automated code generation, execution, and review loop","Pairs a coding agent with a critic/executor agent to iteratively write, run, and fix code.","Engineering teams, researchers",experimental,2,Strong in benchmark/demo settings; less evidence of standalone production deployment vs. use as a research framework.,time saved,Not publicly disclosed,https://microsoft.github.io/autogen/; https://github.com/microsoft/autogen,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-09-01,Software/Technology,R&D/Engineering; IT
Enterprise/workflow agents,OpenAI Assistants API/Agents SDK,OpenAI,Embedded in-product AI assistants with tool use,"Lets companies embed a persistent, tool-using assistant (file search, code execution, custom functions) directly into their own product.",Product engineering teams,mainstream,4,Backbone for a large number of shipped AI-assistant features across SaaS products; strong adoption evidence.,revenue enablement; quality improvement,Klarna,https://platform.openai.com/docs/assistants,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-11-01,Financial Services; Retail/E-commerce,Customer Support; Sales
Enterprise/workflow agents,OpenAI Assistants API/Agents SDK,OpenAI,Automated internal workflow agents (Agents SDK),Uses OpenAI's Agents SDK to build internal agents that chain tools and functions to complete multi-step business workflows.,Enterprise engineering teams,emerging,3,Newer SDK positioned as a production-grade successor to earlier agent patterns; adoption growing but still early.,time saved; cost reduction,Not publicly disclosed,https://platform.openai.com/docs/assistants; https://openai.github.io/openai-agents-python/,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-03-01,Cross-industry,IT; Supply Chain/Operations
Enterprise/workflow agents,OpenAI Assistants API/Agents SDK,OpenAI,Automated customer-facing support agent with function calling,"Builds a customer support agent that calls internal APIs (order status, refunds) via function calling to resolve requests end-to-end.",Customer support/product teams,mainstream,4,"One of the most common and well-evidenced production use cases for the API, with widely reported deflection-rate improvements.",cost reduction; time saved,Not publicly disclosed,https://platform.openai.com/docs/assistants,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-11-01,Retail/E-commerce; Telecommunications,Customer Support; After-Sales/Service
Enterprise/workflow agents,Claude Agent SDK,Anthropic,Custom production agents built on Claude Code's runtime,Lets developers build bespoke autonomous agents (beyond coding) using the same agent harness and tools that power Claude Code.,Enterprise engineering teams,emerging,3,"Recently released; early adopters report faster time-to-build for custom agents, but production-scale case studies are still limited.",time saved; cost reduction,Not publicly disclosed,https://docs.claude.com,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-05-01,Cross-industry,IT; R&D/Engineering
Enterprise/workflow agents,Claude Agent SDK,Anthropic,Internal tooling and ops agents with file and shell access,Used to build internal agents that can read/write files and run shell commands to automate ops and engineering tasks.,Platform/ops engineering teams,experimental,2,Plausible high-value internal tooling use case; still nascent with limited public case studies.,time saved,Not publicly disclosed,https://docs.claude.com,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-05-01,Software/Technology,IT; Supply Chain/Operations
Enterprise/workflow agents,LangChain/LangGraph,LangChain Inc.,Predictive maintenance alert triage for connected vehicles,"Multi-agent LangGraph workflows ingest telematics and sensor data from connected vehicles, triage predictive-maintenance alerts by urgency, and route confirmed issues to dealer service queues automatically.",Automotive OEM after-sales and connected-services teams,emerging,3,"Growing OEM interest in agentic triage of telematics data to reduce unnecessary service visits and catch failures early, but public deployments are still mostly pilots.",cost reduction; quality improvement,Not publicly disclosed,https://www.langchain.com/langgraph,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-06-01,Automotive,After-Sales/Service; IT
Enterprise/workflow agents,OpenAI Assistants API/Agents SDK,OpenAI,Dealer and service-center support copilot,"An in-dealer assistant built on the Agents SDK answers technician and service-advisor questions by pulling from repair manuals, parts catalogs, and warranty rules, and can draft customer-facing repair explanations.",Automotive dealer service departments,experimental,2,"A plausible, technically straightforward RAG+agent use case for dealer networks, but few named public deployments at scale exist yet to confirm broad ROI.",time saved; quality improvement,Not publicly disclosed,https://platform.openai.com/docs/assistants/overview,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-09-01,Automotive,After-Sales/Service; Sales
Coding/dev agents,GitHub Copilot Workspace,GitHub (Microsoft),Embedded/automotive software (ECU) code assistance,"Automotive software teams use Copilot Workspace to scaffold and review embedded C/C++ code changes for ECU and infotainment software, with mandatory human review on safety-critical paths.",Automotive embedded-software and R&D engineering teams,emerging,3,Coding agents are increasingly used in automotive software orgs for non-safety-critical embedded code; functional-safety certification requirements limit full autonomy.,time saved; quality improvement,Not publicly disclosed,https://github.blog/copilot-workspace,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-04-01,Automotive,R&D/Engineering; IT
Research/multi-step task agents,Perplexity,Perplexity AI,Grid outage and demand-forecast research briefs,"Utility planning teams use Perplexity to compile cited briefs on weather-driven demand spikes, regulatory filings, and peer-utility outage responses to support grid-operations decisions.",Energy/utilities operations and planning teams,emerging,3,General-purpose research agents are commonly used informally by utility analysts for faster situational research; this is an adaptation of a general tool rather than a purpose-built utility product.,time saved,Not publicly disclosed,https://www.perplexity.ai,community_report,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-08-01,Energy/Utilities,IT; Supply Chain/Operations
Enterprise/workflow agents,CrewAI,CrewAI Inc.,Multi-agent energy trading and settlement support,"CrewAI-orchestrated agents cross-check trade confirmations, settlement data, and market-price feeds for energy trading desks, flagging discrepancies for human traders.",Energy trading and finance/back-office teams,experimental,2,"Multi-agent reconciliation is a natural fit for CrewAI's orchestration model, but energy-trading-specific public deployments are scarce and unconfirmed.",time saved; quality improvement,Not publicly disclosed,https://www.crewai.com,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-05-01,Energy/Utilities,Finance; IT
General-purpose/browser agents,Claude with computer use,Anthropic,Automated SCADA/legacy plant-control UI monitoring,"Computer-use agents interact with legacy SCADA and plant-control dashboards that lack modern APIs, reading gauges/alarms and logging or escalating anomalies for operators.",Energy and manufacturing plant operations teams,experimental,2,"Computer-use agents are well-suited to legacy industrial UIs without APIs, but safety-critical operational environments mean adoption is cautious and mostly pilot-stage.",quality improvement; cost reduction,Not publicly disclosed,https://www.anthropic.com/news/developing-computer-use,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-10-01,Energy/Utilities; Manufacturing/Industrial,IT; Manufacturing/Production
Enterprise/workflow agents,Claude Agent SDK,Anthropic,Manufacturing quality-inspection agent orchestration,"Agents built on the Claude Agent SDK coordinate computer-vision inspection results, cross-reference them against spec sheets, and file/route non-conformance reports on the factory floor.",Manufacturing quality-assurance and R&D engineering teams,experimental,2,"An emerging pattern of combining vision inspection with LLM-agent orchestration for non-conformance handling; still early, with limited named public deployments.",quality improvement; time saved,Not publicly disclosed,https://www.anthropic.com/claude/agent-sdk,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-03-01,Manufacturing/Industrial,Manufacturing/Production; R&D/Engineering
