company_name,industry,tool_or_platform,related_category,what_they_did,reported_efficiency_gain,gain_type,confidence,source_url,source_type,date_reported,notes,target_departments,deployment_status,financial_impact_usd,financial_impact_type,company_size_band,implementation_cost_usd,hq_region
Zapier,Software/Technology,Various (internal AI-first policy),Enterprise/workflow agents,"Adopted a company-wide 'AI-native' policy requiring broad use of AI tools across support, engineering, and content operations.",Described efficiency gains in support ticket handling and content operations; specific aggregate metrics were not confidently recalled.,time saved; cost reduction,directional,https://zapier.com,community_report,2023-09-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. HQ region added 2026-09-08 via public company records.",Cross-functional,scaled/production,,headcount efficiency,Enterprise ($1B+),,North America
Salesforce,Software/Technology,Salesforce Agentforce,Enterprise/workflow agents,Used its own Agentforce product internally to help handle customer support case deflection as a reference customer for the product.,"Reported $100M in annualized cost savings from internal Agentforce use, with support caseload down 8% year-over-year -- more than 170,000 fewer cases -- while maintaining customer satisfaction.",cost reduction; headcount efficiency,high,https://fortune.com/2026/04/18/salesforce-agentforce-ai-efficiency-revenue-growth/,news_article,2026-04-18,"Verified via live web research (2026-09), replacing an earlier AI-recalled placeholder. Sourced from Fortune's reporting on Salesforce's own disclosures -- a self-reported internal figure from the vendor selling the product, not an independent audit. HQ region added 2026-09-08 via public company records.",Sales; Customer Support,scaled/production,100000000.0,cost savings,Enterprise ($1B+),,North America
Intuit,Financial Services,"Intuit GenOS (internal platform, multiple underlying models)",Enterprise/workflow agents,Built an internal generative AI operating system (GenOS) applied across TurboTax and QuickBooks for customer support and tax-filing assistance.,Described improved customer support efficiency and faster resolution of filing questions; specific aggregate percentage gains were not confidently recalled.,time saved; quality improvement,directional,https://www.intuit.com,news_article,2023-09-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. HQ region added 2026-09-08 via public company records.",Finance; Customer Support,scaled/production,,not quantified,Enterprise ($1B+),,North America
Siemens,Manufacturing/Industrial,Siemens Industrial Copilot (built with Microsoft Azure OpenAI),Enterprise/workflow agents,Deployed Siemens Industrial Copilot to let automation engineers generate and debug PLC/SCADA code via natural-language prompts on the factory floor.,"Siemens has stated the copilot can meaningfully cut code-generation and debugging time for automation engineers, though no independently audited aggregate percentage has been published.",time saved; quality improvement,moderate,https://www.siemens.com/global/en/products/automation/topic-areas/industrial-copilot.html,vendor_docs,2023-11-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. HQ region added 2026-09-08 via public company records.",Manufacturing/Production; R&D/Engineering,scaled/production,,not quantified,Enterprise ($1B+),,Europe
Mercedes-Benz,Automotive,ChatGPT Enterprise / Azure OpenAI integration,Enterprise/workflow agents,"Rolled out a ChatGPT-based generative AI assistant to tens of thousands of corporate and R&D staff for drafting, coding support, and internal documentation, after an initial 2023 pilot.",Company reported strong employee engagement and productivity gains during the pilot; no verified aggregate percentage is public.,time saved; quality improvement,moderate,https://www.mercedes-benz.com,news_article,2023-06-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. HQ region added 2026-09-08 via public company records.",R&D/Engineering; IT,scaled/production,,not quantified,Enterprise ($1B+),,Europe
BMW Group,Automotive,Microsoft 365 Copilot,Enterprise/workflow agents,"Piloted Microsoft 365 Copilot across engineering, IT, and corporate functions to support drafting, summarization, and coding-adjacent tasks.",Cited by Microsoft as an enterprise Copilot case study; specific quantified savings have not been independently confirmed.,time saved,directional,https://www.microsoft.com/en-us/microsoft-365/copilot,vendor_docs,2023-11-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. HQ region added 2026-09-08 via public company records.",IT; R&D/Engineering,pilot,,not quantified,Enterprise ($1B+),,Europe
DHL,Logistics/Transportation,Generative AI logistics chatbots and internal copilots,Enterprise/workflow agents,Uses generative AI assistants for customer-facing shipment-tracking support chat and internal logistics-exception handling in select markets.,Company has cited faster customer-query resolution in select rollouts; no independently verified aggregate figure is available.,time saved; cost reduction,directional,https://www.dhl.com,news_article,2024-01-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. HQ region added 2026-09-08 via public company records.",Customer Support; Supply Chain/Operations,pilot,,not quantified,Enterprise ($1B+),,Europe
Walmart,Retail/E-commerce,'My Assistant' internal generative AI tool,Enterprise/workflow agents,"Deployed 'My Assistant,' a generative AI tool for corporate (non-store) employees to help with writing, summarizing documents, and idea generation, plus generative AI for product-catalog listing generation.",Reported reducing the time to draft a page of catalog/content text from what previously took a full day to minutes.,time saved,moderate,https://corporate.walmart.com,news_article,2023-08-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. HQ region added 2026-09-08 via public company records.",Marketing; IT,scaled/production,,not quantified,Enterprise ($1B+),,North America
Schneider Electric,Energy/Utilities,Internal generative AI copilots,Enterprise/workflow agents,Piloted generative AI copilots for engineers and customer-support teams to speed up technical-documentation search and quote/proposal generation for energy-management equipment.,Qualitatively reported time savings in technical-documentation retrieval; no independently verified aggregate metric found.,time saved,directional,https://www.se.com,vendor_docs,2024-03-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. HQ region added 2026-09-08 via public company records.",R&D/Engineering; Customer Support,pilot,,not quantified,Enterprise ($1B+),,Europe
McDonald's / IBM,Retail/E-commerce,IBM-powered AI drive-thru voice ordering (Automated Order Taking),,"Piloted IBM-powered AI voice-ordering technology at drive-thru lanes in over 100 US locations starting 2021, aiming to take orders without staff involvement.",McDonald's ended the pilot in June 2024 after videos of significant ordering errors (e.g. absurd item quantities added to orders) went viral; the company said it would explore other paths instead of continuing the IBM partnership for now.,,high,https://www.reuters.com,news_article,2024-06-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. HQ region added 2026-09-08 via public company records.",Customer Support; IT,discontinued,,not quantified,Enterprise ($1B+),,North America
PwC,Professional Services/Consulting,Harvey (legal AI agent) and ChatGPT Enterprise,Enterprise/workflow agents,"Rolled out Harvey (a legal-AI agent startup's product) and ChatGPT Enterprise across its assurance, tax, and legal advisory workforce, automating parts of contract review, research memos, and compliance drafting.","PwC publicly announced a roughly $1 billion multi-year investment in generative AI in 2023 (including the Harvey/OpenAI-related partnership), framed as building AI-enabled service delivery -- this is disclosed investment/spend, not a reported realized savings or profit figure.",quality improvement; time saved,moderate,https://www.pwc.com,news_article,2023-09-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. The ~$1B figure is investment/spend, deliberately left out of financial_impact_usd (which is reserved for realized gains) -- a direct example of the investment-vs-realized-ROI distinction discussed on the Money & ROI page. HQ region added 2026-09-08 via public company records.",Legal/Compliance; Finance,scaled/production,,not quantified,Enterprise ($1B+),,Europe
IKEA,Retail/E-commerce,Billie (AI customer-service assistant),Enterprise/workflow agents,"Deployed an AI assistant ('Billie') to handle routine customer-service inquiries at scale, then retrained and redeployed affected customer-service staff into interior-design advisor and remote sales roles rather than reducing headcount.","Widely cited in enterprise-AI-adoption roundups as handling inquiry volume equivalent to roughly 250 full-time customer-service staff, who were redeployed rather than laid off.",headcount efficiency; time saved,directional,https://www.ikea.com,community_report,2021-06-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. This deployment predates the current LLM-agent tooling wave (earlier-generation conversational AI/RPA) but is one of the most-cited 'AI freed staff for higher-value work' examples in enterprise AI-adoption literature, included here for adoption context. HQ region added 2026-09-08 via public company records.",Customer Support; Sales,scaled/production,,headcount efficiency,Enterprise ($1B+),,Europe
Volkswagen,Automotive,ChatGPT integrated into IDA in-car voice assistant (via Cerence),Enterprise/workflow agents,"Integrated ChatGPT into the IDA voice assistant across its ID. electric-vehicle lineup in Europe, beginning mid-2023 via a partnership with Cerence, letting drivers ask general-knowledge questions and control some vehicle functions by voice.",Positioned as a customer-experience/product-differentiation feature rather than an internal efficiency play; no efficiency percentage or cost figure has been publicly reported.,quality improvement,moderate,https://www.volkswagen.com,news_article,2023-06-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. HQ region added 2026-09-08 via public company records.",R&D/Engineering; Sales,scaled/production,,not quantified,Enterprise ($1B+),,Europe
Maersk,Logistics/Transportation,Generative AI pilots for logistics customer service and operations,Enterprise/workflow agents,Piloted generative AI tools for customer-facing logistics inquiries and internal operations documentation as part of a broader digitization push across ocean freight and supply-chain services.,Described as part of broader AI/digitization initiatives in company communications; no specific efficiency percentage or dollar figure independently confirmed for this project.,time saved,directional,https://www.maersk.com,news_article,2024-06-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. HQ region added 2026-09-08 via public company records.",Customer Support; Supply Chain/Operations,pilot,,not quantified,Enterprise ($1B+),,Europe
Bosch,Manufacturing/Industrial,Generative AI copilots for engineers (Microsoft/Azure OpenAI partnership),Enterprise/workflow agents,"Piloted generative AI copilots to help engineers search technical documentation and speed up production-line troubleshooting, part of a broader generative-AI partnership with Microsoft announced in 2023.",Framed by Bosch as part of a multi-year AI investment push in public statements; no specific efficiency percentage independently confirmed.,time saved,directional,https://www.bosch.com,news_article,2023-11-01,"AI-recalled from general public knowledge as of 2026-08, not independently re-verified for this project. Check current sources before citing this figure externally. HQ region added 2026-09-08 via public company records.",R&D/Engineering; Manufacturing/Production,pilot,,not quantified,Enterprise ($1B+),,Europe
Wiley,Education/Academia,Salesforce Agentforce,Enterprise/workflow agents,"Deployed Agentforce-powered AI agents integrated with Service Cloud to handle seasonal customer-service call spikes (e.g. start of semester) that had been overwhelming human support staff, resolving common account/registration/payment issues from Wiley's knowledge base without an agent.","Achieved a 213% ROI with $230,000 in savings, onboarded seasonal support staff 50% faster, and improved case resolution by over 40% in the first few weeks of use.",cost reduction; time saved; quality improvement,high,https://www.salesforce.com/customer-stories/wiley/,case_study,2024-12-01,"Verified via live web research (2026-09): official Salesforce customer-story page, corroborated by Salesforce leadership's own public statements. As a vendor-published customer-success story it is naturally selected to showcase a strong result -- still a real named company with a specific, attributed figure, unlike most AI-recalled entries in this dataset. HQ region added 2026-09-08 via public company records.",Customer Support,scaled/production,230000.0,cost savings,Enterprise ($1B+),,North America
REVA Air Ambulance,Healthcare,Ramp (AI-powered accounts payable automation),Enterprise/workflow agents,"Automated invoice capture, coding, and approval routing for accounts payable using Ramp's AI-powered spend management platform.","Cut per-invoice processing time from roughly 15-20 minutes to under 3 minutes (80%+ reduction), and accelerated month-end close by about 2 weeks.",time saved; cost reduction,moderate,https://ramp.com/blog/accounts-payable/ap-automation-case-studies,case_study,2026-09-01,"Found via live web research (2026-09) specifically to find AI use cases relevant to mid-market/SMB companies, since this dataset was otherwise 100% Fortune-500/unicorn-scale.  Vendor-published customer story -- real named company and specific mechanism, but no independent third-party audit of the figures. Exact REVA revenue not independently confirmed; company_size_band here is an estimate based on the described scale of operations, not a disclosed financial figure. HQ region added 2026-09-08 via public company records.",Finance,scaled/production,,not quantified,Mid-market ($10M-$100M),,North America
Snapdocs,Software/Technology,Ramp (AI-powered accounts payable automation),Enterprise/workflow agents,Consolidated multiple finance tools onto Ramp's AI-powered platform to automate expense reconciliation for its digital mortgage-closing operations.,Monthly reconciliation time dropped from 5-6 hours to under 30 minutes.,time saved,moderate,https://ramp.com/blog/accounts-payable/ap-automation-case-studies,case_study,2026-09-01,"Found via live web research (2026-09) specifically to find AI use cases relevant to mid-market/SMB companies, since this dataset was otherwise 100% Fortune-500/unicorn-scale.  Vendor-published customer story -- real named company and specific mechanism, but no independent third-party audit of the figures. HQ region added 2026-09-08 via public company records.",Finance,scaled/production,,not quantified,Mid-market ($10M-$100M),,North America
MakeStickers,Retail/E-commerce,Ramp (AI-powered accounts payable automation),Enterprise/workflow agents,Centralized accounts-payable tracking and automated manual invoice/expense workflows using Ramp.,Saved an estimated 8-10 hours per week of manual AP tracking work.,time saved,moderate,https://ramp.com/blog/accounts-payable/ap-automation-case-studies,case_study,2026-09-01,"Found via live web research (2026-09) specifically to find AI use cases relevant to mid-market/SMB companies, since this dataset was otherwise 100% Fortune-500/unicorn-scale.  Vendor-published customer story -- real named company and specific mechanism, but no independent third-party audit of the figures. Genuinely small-company scale (custom-printing e-commerce business) -- the closest direct size analogue found in this research pass to a company well below $50M revenue. HQ region added 2026-09-08 via public company records.",Finance,scaled/production,,not quantified,SMB (<$10M),,North America
Bubble,Software/Technology,Ramp (AI-powered accounts payable automation),Enterprise/workflow agents,Automated accounts-payable processing and reconciliation for its no-code development platform business using Ramp.,Reported time savings in AP automation and reconciliation; vendor case study does not disclose a specific percentage or hours figure.,time saved,directional,https://ramp.com/blog/accounts-payable/ap-automation-case-studies,case_study,2026-09-01,"Found via live web research (2026-09) specifically to find AI use cases relevant to mid-market/SMB companies, since this dataset was otherwise 100% Fortune-500/unicorn-scale.  Vendor-published customer story -- real named company and specific mechanism, but no independent third-party audit of the figures. Less specific than the other Ramp customer stories in this batch -- no hard number disclosed, hence 'directional' confidence. HQ region added 2026-09-08 via public company records.",Finance,scaled/production,,not quantified,Mid-market ($10M-$100M),,North America
Canibuild,Software/Technology,11x (AI SDR agent),Enterprise/workflow agents,Deployed 11x's AI sales development representative (SDR) agent to automate outbound lead qualification and response for its construction-quoting SaaS product.,"Generated over $1M in pipeline during early deployment; reported a 99% reduction in speed-to-lead response time, with 20% of pipeline attributed to AI-generated outbound.",revenue enablement; time saved,directional,https://www.11x.ai/,case_study,2026-09-01,"Found via live web research (2026-09) specifically to find AI use cases relevant to mid-market/SMB companies, since this dataset was otherwise 100% Fortune-500/unicorn-scale. Single-vendor self-published case study (11x) with no independent third-party verification -- B2B AI-SDR tooling has the weakest independently-verified evidence base of the domains researched this session; treat as directional, not proven. HQ region added 2026-09-08 via public company records.",Sales,scaled/production,,not quantified,SMB (<$10M),,Rest of Asia-Pacific
Questex,Media/Marketing,11x (AI SDR agent),Enterprise/workflow agents,Used 11x's AI SDR agent to automate outbound prospecting for its B2B events and media business.,Reported 5x ROI and over $1M in pipeline generated within 3 months of deployment.,revenue enablement,directional,https://www.11x.ai/,case_study,2026-09-01,"Found via live web research (2026-09) specifically to find AI use cases relevant to mid-market/SMB companies, since this dataset was otherwise 100% Fortune-500/unicorn-scale. Single-vendor self-published case study (11x) with no independent third-party verification. HQ region added 2026-09-08 via public company records.",Sales,scaled/production,,not quantified,Mid-market ($10M-$100M),,North America
MMB Networks,Manufacturing/Industrial,11x (AI SDR agent),Enterprise/workflow agents,Used 11x's AI SDR agent to automate outbound sales prospecting for its IoT hardware business.,Reported a 5x increase in qualified sales meetings.,revenue enablement,directional,https://www.11x.ai/,case_study,2026-09-01,"Found via live web research (2026-09) specifically to find AI use cases relevant to mid-market/SMB companies, since this dataset was otherwise 100% Fortune-500/unicorn-scale. Single-vendor self-published case study (11x) with no independent third-party verification; thin detail beyond the headline number. HQ region added 2026-09-08 via public company records.",Sales,scaled/production,,not quantified,SMB (<$10M),,North America
Curology,Healthcare,Decagon (AI customer support agent),Enterprise/workflow agents,Deployed Decagon's AI support agent to automate customer service chat for its DTC dermatology/skincare subscription business.,Share of inquiries handled by the AI agent rose from about 5% to roughly 80% of ticket volume.,cost reduction; time saved,moderate,https://decagon.ai/case-studies,case_study,2026-09-01,"Found via live web research (2026-09) specifically to find AI use cases relevant to mid-market/SMB companies, since this dataset was otherwise 100% Fortune-500/unicorn-scale. Curology and Flashfood are the closer-to-mid-market-scale entries among Decagon's published case studies, which otherwise feature much larger companies (Substack, Faire, ClassPass, Rippling). IMPORTANT CAVEAT found via independent research: vendor-self-reported deflection rates like this one run well ahead of typical real-world outcomes -- independent cross-program data puts the median AI support-automation deflection rate near 41% (top quartile ~59%), notably below vendors' own headline figures (Decagon ~80%, Intercom Fin ~76% self-reported). Plan around the 40-60% range, not this row's 80% headline number. HQ region added 2026-09-08 via public company records.",Customer Support,scaled/production,,not quantified,Mid-market ($10M-$100M),,North America
Flashfood,Retail/E-commerce,Decagon (AI customer support agent),Enterprise/workflow agents,Deployed Decagon's AI support agent to automate customer service for its food-waste discount marketplace app.,Over 90% of support issues reported as auto-resolved by the AI agent.,cost reduction; time saved,moderate,https://decagon.ai/case-studies,case_study,2026-09-01,"Found via live web research (2026-09) specifically to find AI use cases relevant to mid-market/SMB companies, since this dataset was otherwise 100% Fortune-500/unicorn-scale. Genuinely smaller/startup-scale company -- the closest size analogue found for support automation. Same independent-median-deflection caveat as the Curology row applies: treat the vendor's headline auto-resolve rate as an upper bound, not a typical outcome. HQ region added 2026-09-08 via public company records.",Customer Support,scaled/production,,not quantified,SMB (<$10M),,North America
