category,tool_name,vendor,use_case_title,use_case_description,target_users,maturity,business_value_score,business_value_rationale,roi_drivers,example_companies,source_url,source_type,collected_at,last_verified,notes,first_available,target_industries,target_departments,target_company_size
General-purpose/browser agents,OpenAI Operator/ChatGPT agent mode,OpenAI,"Autonomous web task completion (bookings, forms, research)","Browses the web and completes multi-step tasks like filling forms, comparing options, and completing checkouts on a user's behalf.","Consumers, ops teams",emerging,3,Strong demo-level capability; real-world reliability on arbitrary sites still variable.,time saved,Not publicly disclosed,https://openai.com,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-01-01,Retail/E-commerce; Cross-industry,Sales; Procurement; Cross-functional,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
General-purpose/browser agents,OpenAI Operator/ChatGPT agent mode,OpenAI,Competitive price and spec monitoring,Periodically browses vendor/competitor sites to collect pricing and spec changes into a structured summary.,Product/ops teams,experimental,2,Useful but overlaps with cheaper scraping solutions; agentic browsing adds robustness to site changes.,time saved,Not publicly disclosed,https://openai.com,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-01-01,Retail/E-commerce,Sales; Marketing,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
General-purpose/browser agents,Google Project Mariner,Google DeepMind,Multi-tab browser task automation,Operates within Chrome across multiple tabs to complete research and shopping-style tasks.,"Consumers, researchers",experimental,2,Early-stage research preview; limited public deployment/ROI evidence to date.,time saved,Not publicly disclosed,https://deepmind.google,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-12-01,Retail/E-commerce; Cross-industry,Cross-functional; IT,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
General-purpose/browser agents,Google Project Mariner,Google DeepMind,Web-based research aggregation,Gathers and synthesizes information from multiple browser tabs into a single summary for a research question.,Knowledge workers,experimental,2,Promising but still positioned as a research prototype rather than a production tool.,time saved,Not publicly disclosed,https://deepmind.google,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-12-01,Cross-industry,Marketing; R&D/Engineering,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
General-purpose/browser agents,Manus,Butterfly Effect,General-purpose autonomous task agent,"Takes a high-level goal and autonomously plans/executes a sequence of web, file, and tool actions to complete it.","Consumers, knowledge workers",emerging,3,Went viral for broad autonomous task completion; independent long-horizon reliability testing still limited.,time saved,Not publicly disclosed,https://manus.im,community_report,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-03-01,Cross-industry,Cross-functional,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
General-purpose/browser agents,Manus,Butterfly Effect,Automated report and slide generation,"Produces structured reports and slide decks from a research prompt by browsing, synthesizing, and formatting output autonomously.","Consultants, analysts",emerging,3,"Frequently cited for cutting report-drafting time significantly, though output still needs editing.",time saved; quality improvement,Not publicly disclosed,https://manus.im,community_report,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-03-01,Professional Services/Consulting; Financial Services,Marketing; Finance,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Research/multi-step task agents,Perplexity,Perplexity AI,"Cited, real-time question answering",Answers questions by searching the live web and returning an answer with inline citations.,"Knowledge workers, consumers",mainstream,4,Large active user base; commonly cited as replacing traditional search-plus-synthesis for research tasks.,time saved; quality improvement,Not publicly disclosed,https://www.perplexity.ai; https://docs.perplexity.ai,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2022-12-01,Cross-industry,Cross-functional,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Research/multi-step task agents,Perplexity,Perplexity AI,Automated market and competitive research briefs,"Assembles a sourced research brief on a company, market, or topic from multiple live web sources.","Analysts, sales teams",mainstream,3,"Commonly used for pre-meeting/account research; time savings well reported, business impact harder to quantify.",time saved,Not publicly disclosed,https://www.perplexity.ai; https://docs.perplexity.ai,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2022-12-01,Financial Services; Professional Services/Consulting,Marketing; Sales,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Research/multi-step task agents,Perplexity,Perplexity AI,Enterprise internal search assistant,Deploys Perplexity's search-and-cite model over internal enterprise documents and tools in addition to the public web.,Enterprise knowledge workers,emerging,3,Extends the consumer product's proven UX into enterprise search; enterprise-specific ROI data still limited.,time saved,Not publicly disclosed,https://www.perplexity.ai; https://docs.perplexity.ai,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2022-12-01,Cross-industry,IT; Cross-functional,Mid-large ($100M-$1B); Enterprise ($1B+)
Research/multi-step task agents,ChatGPT Deep Research,OpenAI,Multi-source long-form research reports,"Autonomously runs many searches and reads sources over several minutes to produce a long, cited research report on a topic.","Analysts, researchers",mainstream,4,Widely reported to compress hours of manual research into minutes with credible sourcing.,time saved; quality improvement,Not publicly disclosed,https://openai.com/chatgpt,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-02-01,Professional Services/Consulting; Financial Services,R&D/Engineering; Marketing,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Research/multi-step task agents,ChatGPT Deep Research,OpenAI,Due diligence support for investment research,"Used by analysts to pull together background, financial commentary, and risk factors on companies from public sources.",Finance/investment teams,emerging,3,Growing anecdotal adoption in finance; must be cross-checked against primary sources for accuracy.,time saved,Not publicly disclosed,https://openai.com/chatgpt,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-02-01,Financial Services,Finance,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Research/multi-step task agents,ChatGPT Deep Research,OpenAI,Academic literature review assistance,Assists researchers in surveying academic literature and summarizing findings across many papers on a topic.,Academic researchers,emerging,3,Reported to meaningfully speed up literature survey work; accuracy on niche academic sources needs verification.,time saved,Not publicly disclosed,https://openai.com/chatgpt,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-02-01,Education/Academia,R&D/Engineering,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Research/multi-step task agents,Claude Research mode,Anthropic,Structured multi-step research synthesis,"Plans a research approach, runs parallel searches, and synthesizes a structured, cited answer to complex questions.","Knowledge workers, analysts",mainstream,4,"Comparable adoption pattern to other deep-research tools; particularly noted for structured, well-organized output.",time saved; quality improvement,Not publicly disclosed,https://www.anthropic.com; https://docs.claude.com,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-04-01,Cross-industry,R&D/Engineering,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Research/multi-step task agents,Claude Research mode,Anthropic,Literature and background review for technical topics,"Surveys public documentation, papers, and articles to produce a background primer on a technical subject.","Engineers, researchers",emerging,3,Reduces ramp-up time on unfamiliar technical topics; quality depends on availability of public sources.,time saved,Not publicly disclosed,https://www.anthropic.com; https://docs.claude.com,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-04-01,Software/Technology; Education/Academia,R&D/Engineering,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Research/multi-step task agents,AutoGPT/BabyAGI (legacy),Open Source,Early autonomous goal-decomposition experiments,"Given a goal, recursively generates and executes its own sub-tasks in a loop with minimal human input.",AI researchers/hobbyists,experimental,1,"Historically important as an early autonomous-agent proof of concept, but widely reported to loop or fail on non-trivial tasks; largely superseded.",none evidenced,Not publicly disclosed,https://github.com/Significant-Gravitas/AutoGPT; https://github.com/yoheinakajima/babyagi,community_report,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-03-01,Cross-industry,R&D/Engineering,SMB (<$10M); Mid-market ($10M-$100M)
Research/multi-step task agents,AutoGPT/BabyAGI (legacy),Open Source,Prototype personal task automation,"Used by hobbyists to prototype simple recurring task automations, such as news summarization loops.",Hobbyists/individuals,experimental,1,Mostly experimental/tinkering use; no strong evidence of durable production use.,none evidenced,Not publicly disclosed,https://github.com/Significant-Gravitas/AutoGPT; https://github.com/yoheinakajima/babyagi,community_report,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-03-01,Cross-industry,Cross-functional,SMB (<$10M); Mid-market ($10M-$100M)
Enterprise/workflow agents,LangChain/LangGraph,LangChain Inc.,Custom RAG pipelines for enterprise knowledge bases,Framework used to build retrieval-augmented generation pipelines connecting LLMs to internal document stores.,Enterprise engineering teams,mainstream,4,De facto standard building block for enterprise LLM apps; large ecosystem and adoption evidence.,time saved; quality improvement,Not publicly disclosed,https://www.langchain.com; https://python.langchain.com/docs,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2022-10-01,Cross-industry,IT; Cross-functional,Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,LangChain/LangGraph,LangChain Inc.,Stateful multi-agent workflow orchestration (LangGraph),LangGraph adds graph-based state management for building reliable multi-step/multi-agent workflows in production.,Platform/AI engineering teams,emerging,3,Increasingly used for production agent orchestration; best practices around reliability are still maturing.,quality improvement; time saved,LinkedIn,https://www.langchain.com; https://langchain-ai.github.io/langgraph/,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-01-01,Software/Technology; Professional Services/Consulting,IT; Supply Chain/Operations,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,LangChain/LangGraph,LangChain Inc.,Agent evaluation and observability (LangSmith),"Companion tooling for tracing, evaluating, and debugging LangChain/LangGraph agent runs in production.",AI engineering teams,emerging,3,Addresses a well-recognized production pain point (agent observability); growing adoption alongside the core framework.,quality improvement; risk reduction,Not publicly disclosed,https://www.langchain.com; https://smith.langchain.com,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-07-01,Software/Technology,IT; R&D/Engineering,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,CrewAI,CrewAI Inc.,Multi-agent customer support ticket triage,"A crew of role-based agents classifies, prioritizes, and drafts responses for incoming support tickets.",Customer support operations,emerging,3,Commonly cited example use case with reported efficiency gains in ticket handling time; evidence mostly vendor/case-study level.,time saved; cost reduction,Not publicly disclosed,https://www.crewai.com; https://github.com/crewAIInc/crewAI,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-11-01,Retail/E-commerce; Telecommunications,Customer Support; After-Sales/Service,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,CrewAI,CrewAI Inc.,Automated content research-and-draft pipeline,Chains a researcher agent and a writer agent to produce first-draft marketing/content pieces.,Marketing/content teams,emerging,2,Popular tutorial/demo use case; production adoption evidence still mostly anecdotal.,time saved,Not publicly disclosed,https://www.crewai.com; https://github.com/crewAIInc/crewAI,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-11-01,Media/Marketing,Marketing,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,AutoGen,Microsoft,Multi-agent conversation framework for enterprise automation,Framework for orchestrating conversations between multiple specialized agents (and humans) to solve complex tasks.,Enterprise AI engineering teams,emerging,3,Backed by Microsoft Research with growing enterprise pilots; production-scale ROI evidence still emerging.,quality improvement; time saved,Not publicly disclosed,https://microsoft.github.io/autogen/; https://github.com/microsoft/autogen,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-09-01,Software/Technology,IT; Cross-functional,Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,AutoGen,Microsoft,"Automated code generation, execution, and review loop","Pairs a coding agent with a critic/executor agent to iteratively write, run, and fix code.","Engineering teams, researchers",experimental,2,Strong in benchmark/demo settings; less evidence of standalone production deployment vs. use as a research framework.,time saved,Not publicly disclosed,https://microsoft.github.io/autogen/; https://github.com/microsoft/autogen,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-09-01,Software/Technology,R&D/Engineering; IT,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,OpenAI Assistants API/Agents SDK,OpenAI,Embedded in-product AI assistants with tool use,"Lets companies embed a persistent, tool-using assistant (file search, code execution, custom functions) directly into their own product.",Product engineering teams,mainstream,4,Backbone for a large number of shipped AI-assistant features across SaaS products; strong adoption evidence.,revenue enablement; quality improvement,Klarna,https://platform.openai.com/docs/assistants,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-11-01,Financial Services; Retail/E-commerce,Customer Support; Sales,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,OpenAI Assistants API/Agents SDK,OpenAI,Automated internal workflow agents (Agents SDK),Uses OpenAI's Agents SDK to build internal agents that chain tools and functions to complete multi-step business workflows.,Enterprise engineering teams,emerging,3,Newer SDK positioned as a production-grade successor to earlier agent patterns; adoption growing but still early.,time saved; cost reduction,Not publicly disclosed,https://platform.openai.com/docs/assistants; https://openai.github.io/openai-agents-python/,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-03-01,Cross-industry,IT; Supply Chain/Operations,Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,OpenAI Assistants API/Agents SDK,OpenAI,Automated customer-facing support agent with function calling,"Builds a customer support agent that calls internal APIs (order status, refunds) via function calling to resolve requests end-to-end.",Customer support/product teams,mainstream,4,"One of the most common and well-evidenced production use cases for the API, with widely reported deflection-rate improvements.",cost reduction; time saved,Not publicly disclosed,https://platform.openai.com/docs/assistants,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2023-11-01,Retail/E-commerce; Telecommunications,Customer Support; After-Sales/Service,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,Claude Agent SDK,Anthropic,Custom production agents built on Claude Code's runtime,Lets developers build bespoke autonomous agents (beyond coding) using the same agent harness and tools that power Claude Code.,Enterprise engineering teams,emerging,3,"Recently released; early adopters report faster time-to-build for custom agents, but production-scale case studies are still limited.",time saved; cost reduction,Not publicly disclosed,https://docs.claude.com,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-05-01,Cross-industry,IT; R&D/Engineering,Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,Claude Agent SDK,Anthropic,Internal tooling and ops agents with file and shell access,Used to build internal agents that can read/write files and run shell commands to automate ops and engineering tasks.,Platform/ops engineering teams,experimental,2,Plausible high-value internal tooling use case; still nascent with limited public case studies.,time saved,Not publicly disclosed,https://docs.claude.com,vendor_docs,2026-08-30,2026-08-30,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2025-05-01,Software/Technology,IT; Supply Chain/Operations,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
Enterprise/workflow agents,LangChain/LangGraph,LangChain Inc.,Predictive maintenance alert triage for connected vehicles,"Multi-agent LangGraph workflows ingest telematics and sensor data from connected vehicles, triage predictive-maintenance alerts by urgency, and route confirmed issues to dealer service queues automatically.",Automotive OEM after-sales and connected-services teams,emerging,3,"Growing OEM interest in agentic triage of telematics data to reduce unnecessary service visits and catch failures early, but public deployments are still mostly pilots.",cost reduction; quality improvement,Not publicly disclosed,https://www.langchain.com/langgraph,vendor_docs,2026-08-31,2026-08-31,AI-curated from general knowledge as of 2026-08 -- verify source_url and score before treating as final.,2024-06-01,Automotive,After-Sales/Service; IT,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+)
